wordindex,word,surah,ayah,startx,starty,width,pageno,rawword,pageno1
116,مَّرَضٌ,2,10,,,,4,مرض,3
117,فَزَادَهُمُ,2,10,,,,4,فزادهم,3
118,اللَّهُ,2,10,,,,4,الله,3
119,مَرَضًا,2,10,,,,4,مرضا,3
120,وَلَهُمْ,2,10,,,,4,ولهم,3
121,عَذَابٌ,2,10,,,,4,عذاب,3
122,أَلِيمٌ,2,10,,,,4,أليم,3
123,بِمَا,2,10,,,,4,بما,3
124,كَانُوا,2,10,,,,4,كانوا,3
125,يَكْذِبُونَ,2,10,,,,4,يكذبون,3
126,وَإِذَا,2,11,,,,4,وإذا,3
127,قِيلَ,2,11,,,,4,قيل,3
128,لَهُمْ,2,11,,,,4,لهم,3
129,لَا,2,11,,,,4,لا,3
130,تُفْسِدُوا,2,11,,,,4,تفسدوا,3
131,فِي,2,11,,,,4,في,3
132,الْأَرْضِ,2,11,,,,4,الأرض,3
133,قَالُوا,2,11,,,,4,قالوا,3
134,إِنَّمَا,2,11,,,,4,إنما,3
135,نَحْنُ,2,11,,,,4,نحن,3
136,مُصْلِحُونَ,2,11,,,,4,مصلحون,3
137,أَلَا,2,12,,,,4,ألا,3
138,إِنَّهُمْ,2,12,,,,4,إنهم,3
139,هُمُ,2,12,,,,4,هم,3
140,الْمُفْسِدُونَ,2,12,,,,4,المفسدون,3
141,وَلَٰكِن,2,12,,,,4,ولكن,3
142,لَّا,2,12,,,,4,لا,3
143,يَشْعُرُونَ,2,12,,,,4,يشعرون,3
144,وَإِذَا,2,13,,,,4,وإذا,3
145,قِيلَ,2,13,,,,4,قيل,3
146,لَهُمْ,2,13,,,,4,لهم,3
147,آمِنُوا,2,13,,,,4,آمنوا,3
148,كَمَا,2,13,,,,4,كما,3
149,آمَنَ,2,13,,,,4,آمن,3
150,النَّاسُ,2,13,,,,4,الناس,3
151,قَالُوا,2,13,,,,4,قالوا,3
152,أَنُؤْمِنُ,2,13,,,,4,أنؤمن,3
153,كَمَا,2,13,,,,4,كما,3
154,آمَنَ,2,13,,,,4,آمن,3
155,السُّفَهَاءُ,2,13,,,,4,السفهاء,3
156,أَلَا,2,13,,,,4,ألا,3
157,إِنَّهُمْ,2,13,,,,4,إنهم,3
158,هُمُ,2,13,,,,4,هم,3
159,السُّفَهَاءُ,2,13,,,,4,السفهاء,3
160,وَلَٰكِن,2,13,,,,4,ولكن,3
161,لَّا,2,13,,,,4,لا,3
162,يَعْلَمُونَ,2,13,,,,4,يعلمون,3
